sentence1,sentence2,labels,binary,normalized,score
빠른 대응과 모든 친절한 고려에 만족했다.,나머지는 위치를 제외하고는 매우 만족스러웠다,"{'label': 1.7000000000000002, 'real-label': 1.666666666666667, 'binary-label': 0}",0,0.34,1.7000000000000002
2층에는 10여 개의 객실이 있는 것 같지만 한국의 명품 고시텔 같은 느낌이 들까.,샤워 부스와 화장실이 있는 2개의 변기에 집에 총 4개의 방이 있다고 생각했다.,"{'label': 0.8, 'real-label': 0.833333333333333, 'binary-label': 0}",0,0.16,0.8
그 영화는 프랑스 장면과 같았다,그 영화는 프랑스 장면과 같았다,"{'label': 4.7, 'real-label': 4.666666666666667, 'binary-label': 1}",1,0.9400000000000001,4.7
그러니 단칸방을 이용하고 싶으면 더 좋겠다고 생각합니다.,그러니 한 방을 이용하고 싶은 분들이 더 좋다고 생각합니다.,"{'label': 3.2, 'real-label': 3.166666666666667, 'binary-label': 1}",1,0.64,3.2
화장실은 깨끗하고 따뜻하다,화장실은 깨끗하고 따뜻하다,"{'label': 4.1, 'real-label': 4.142857142857143, 'binary-label': 1}",1,0.82,4.1
호스트와의 접촉은 전화번호나 메시지보다 빠르고 정확한 이메일이다.,호스트와의 접촉이 전화번호나 메시지보다 빠르고 정확하다.,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
멜버른으로 돌아오면 머물러야 할 것이다,멜버른으로 돌아오면 이 호텔을 꼭 이용할 것이다,"{'label': 3.8, 'real-label': 3.8, 'binary-label': 1}",1,0.76,3.8
정부는 연말까지 최대 180일간의 관광진흥법 개정을 허용할 계획이다.,민주노총 28개 지점에서는 조합원들이 조기 식당 등 정규 음식점에서 월 10만원씩 상품권과 선제 결제를 구매하도록 유도한다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
동네에 가까운 우리 기업인들의 주된 역할이다,여러분 신뢰를 위한 주된 기여자가 우리 기업가입니다.,"{'label': 2.9, 'real-label': 2.857142857142857, 'binary-label': 0}",0,0.58,2.9
위치는 세비야를 중심으로 하는 것이 아니라 세빌라 대성당이나 알카사르 등 산책로 이동이 가능하다.,위치는 세비야의 중심이 아니라 세브릴라 대성당이나 알카사르로 걸어갈 수 있다.,"{'label': 4.3, 'real-label': 4.333333333333333, 'binary-label': 1}",1,0.86,4.3
미세먼지 마스크를 만드는 회사는 어디 있지 ,태풍이 오면 배에 타지 마라,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
정문과 챔피언스로 걸어갈 수 있다,개선의 문과 챔피언스로 걸어갈 수 있다,"{'label': 4.5, 'real-label': 4.5, 'binary-label': 1}",1,0.9,4.5
네이트 메일이 신청하지 않는 첨부 파일 유형,학술홍보 이메일과 저널 홍보를 비교할 때 더 빈번한 일이 있다.,"{'label': 0.4, 'real-label': 0.42857142857142805, 'binary-label': 0}",0,0.08,0.4
네스프레소가 없는 포르투갈의 아침은 정말 멋졌다.,넥스프레소와 건조가 있는 최고의 세탁기였다.,"{'label': 1.0, 'real-label': 1.0, 'binary-label': 0}",0,0.2,1.0
담배 연기 냄새 때문에 아이들과 함께 있기가 힘들다.,아이들과 가족이 여행할 수 있는 좋은 곳이었다.,"{'label': 1.0, 'real-label': 1.0, 'binary-label': 0}",0,0.2,1.0
여기에 그림보다 방 내부가 훨씬 좋았다.,여기에 그림보다 호텔 내부가 훨씬 좋았다.,"{'label': 5.0, 'real-label': 5.0, 'binary-label': 1}",1,1.0,5.0
특히 가족 손님들에게 좋다고 생각합니다.,특히 가족 손님들에게는 좋을 것이다,"{'label': 3.8, 'real-label': 3.833333333333333, 'binary-label': 1}",1,0.76,3.8
역과는 거리가 있지만 개인실에서는 편안한 공간이다.,세비야 중심가에는 거리가 조금 있지만 가격에 비해 아주 좋은 호텔이다.,"{'label': 1.0, 'real-label': 1.0, 'binary-label': 0}",0,0.2,1.0
파리 숙소는 너무 비싸지만 나쁜 집은 아니다,파리의 숙소는 매우 비싸지만 나쁘지 않아 아주 작은 집이다.,"{'label': 3.8, 'real-label': 3.833333333333333, 'binary-label': 1}",1,0.76,3.8
그리고 그는 항상 나에게 빠른 피드백을 주었다,그리고 그들은 항상 우리에게 빠른 피드백을 주었다,"{'label': 3.9, 'real-label': 3.857142857142857, 'binary-label': 1}",1,0.78,3.9
대학 중학교 결혼식이니까 늦지 마세요,우리는 예전처럼 약속을 지키려고 노력하자,"{'label': 0.2, 'real-label': 0.16666666666666602, 'binary-label': 0}",0,0.04,0.2
당신의 트위치 계정은 트위터가 아닌 페이스북과 연결돼야 한다.,지메일에 부착된 파일의 최대 금액은 무엇입니까 ,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
30도가 넘지 않는다 겨울철 실내 기온,겨울철 실내 기온이 30도 이상이어서는 안 된다.,"{'label': 4.4, 'real-label': 4.4, 'binary-label': 1}",1,0.8800000000000001,4.4
위치와 청소시설이 정말 좋았다.,나는 모든 청소시설에 만족했다,"{'label': 3.4, 'real-label': 3.4, 'binary-label': 1}",1,0.6799999999999999,3.4
그 거래소의 이메일에서 가장 최근의 단어,교수에게 메시지를 보내고 보조원에게 보내면 다른 사람이 답한다.,"{'label': 0.6000000000000001, 'real-label': 0.6000000000000001, 'binary-label': 0}",0,0.12000000000000002,0.6000000000000001
좋은 교통 위치 아침 서비스 청렴도,전반적으로 교통과 식사가 편리하고 주인은 친근하다.,"{'label': 2.6, 'real-label': 2.571428571428572, 'binary-label': 0}",0,0.52,2.6
그 영화는 취소하기 하루 전에 최소한 취소한다,앞으로 영화를 취소하고 하루 전에는 최소한 하지 말아 주시기 바랍니다.,"{'label': 3.2, 'real-label': 3.2, 'binary-label': 1}",1,0.64,3.2
2승을 위한 큰 백팩이 있으면 엘리베이터에 한 명만 있다.,엘리베이터 두 대와 큰 백팩이 있으면 한 대만 탈 수 있다.,"{'label': 3.7, 'real-label': 3.714285714285714, 'binary-label': 1}",1,0.74,3.7
언제 플레이를 할 거야 금요일과 토요일에 가져올 수 있나요 ,올해로 예정된 명절 목록마다 말씀해 주세요,"{'label': 0.2, 'real-label': 0.16666666666666602, 'binary-label': 0}",0,0.04,0.2
다음 주에 봉사활동을 할 시간이다,다음 주 어느 시점에 봉사자가 있다,"{'label': 4.0, 'real-label': 4.0, 'binary-label': 1}",1,0.8,4.0
우리 문화의 정체성과 다양성을 보존하기 위해 한국 문화와 전통문화 기초예술 인디 문화를 지속적으로 지원하겠다.,이밖에 중소기업의 다양한 연구개발 수요를 충족시키기 위해 18개 신규 사업이 2 807억원이 지원된다.,"{'label': 0.30000000000000004, 'real-label': 0.33333333333333304, 'binary-label': 0}",0,0.06000000000000001,0.30000000000000004
이 부분은 피닉스 난방 정책의 불가피한 부분이라고 한다.,위키키 지역처럼 조금 시끄러울 수밖에 없다.,"{'label': 0.30000000000000004, 'real-label': 0.33333333333333304, 'binary-label': 0}",0,0.06000000000000001,0.30000000000000004
호텔보다 좋은 것은 호스트가 올리브염 등을 제공하는 것이다.,이곳은 호스트에게 아주 친절한 곳이다,"{'label': 0.7000000000000001, 'real-label': 0.6666666666666661, 'binary-label': 0}",0,0.14,0.7000000000000001
집안에 불빛이 얼마나 밝은지 알 수 있다.,집안에 불이 켜져 있어 얼마나 밝은지 알 수 있다.,"{'label': 4.4, 'real-label': 4.428571428571429, 'binary-label': 1}",1,0.8800000000000001,4.4
약속을 바꾸면 30분 전만 바꿔서 알려주지 마세요.,오늘 나중에 보자,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
방에 있고 거실에 로봇 청소기를 구하고 싶다,거실에 로봇 청소기를 어디에 두고 싶니 ,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
집 앞에 있는 낡은 마을에 도착하는 데는 10분도 채 안 걸린다,정류장에서 바다까지 약 20분이 걸렸다.,"{'label': 0.8, 'real-label': 0.833333333333333, 'binary-label': 0}",0,0.16,0.8
덕분에 나는 하루 종일 바르셀로나를 돌아다녔다,너 덕분에 나는 바르셀로나를 하루 종일 돌아다녔다,"{'label': 3.7, 'real-label': 3.666666666666667, 'binary-label': 1}",1,0.74,3.7
나는 이곳에서 총 27박 28일을 보냈다,나는 이곳에서 총 27박 28일을 보냈다,"{'label': 4.3, 'real-label': 4.2857142857142865, 'binary-label': 1}",1,0.86,4.3
에어비앤비와 트립닷컴에 비해 더 많은 광고 메일이 발견됐다.,이메일 광고에는 에어비앤고트가 더 많아 트립커머스가 늘어난다.,"{'label': 3.3, 'real-label': 3.333333333333333, 'binary-label': 1}",1,0.6599999999999999,3.3
태양은 피부에 노출되는 것이 금지된다,지진에서 엘리베이터를 사용하지 마세요. 그 건물의 계단을 이용하자,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
다중이용시설 가운데 중앙관리시설은 이용자 수 제한을 확대하고 클럽 댄스콘서트홀에서 음식 소비 금지 등 고위험 활동을 금지한다.,다중이용시설 중에서는 사용자 수 제한 확대 동아리 춤추거나 노래방에서 먹는 것을 금지하는 등 고위험 활동이 금지된다.,"{'label': 4.0, 'real-label': 4.0, 'binary-label': 1}",1,0.8,4.0
더 나은 효율성이 팬이었다 에어컨이었어 ,주방과 작은 방에서 편안한 자리가 어디 있지 ,"{'label': 0.2, 'real-label': 0.16666666666666602, 'binary-label': 0}",0,0.04,0.2
학문 우편물을 그만두고 어떻게 처리해야 할지 알려주고 싶다.,학술 우편물을 스파이 할 수 있습니다,"{'label': 3.6, 'real-label': 3.571428571428572, 'binary-label': 1}",1,0.72,3.6
나는 언어 소통과 친절에 대한 모든 것을 좋아했다,나는 언어 소통과 친절에 대한 모든 것을 사랑했다,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
포르투갈을 여행하는 것은 정말 좋은 곳이다,포르투갈을 여행하는 것이 좋은 곳이다,"{'label': 3.3, 'real-label': 3.333333333333333, 'binary-label': 1}",1,0.6599999999999999,3.3
세계 발표에서 가장 눈에 띄는 단어가 신뢰였다.,이번 발표에서 가장 눈에 띄는 단어가 신뢰였다.,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
7월에는 약속 목록이 몇 개 있다,어딘가에서 보는 것은 괜찮다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
여기 있어서 뉴욕으로 돌아가고 싶다,마드리드로 돌아오면 이 호텔에 무조건 돌아올 것이다,"{'label': 1.4, 'real-label': 1.428571428571429, 'binary-label': 0}",0,0.27999999999999997,1.4
이런 터무니없는 일이 일어난 것은 이번이 처음이다.,전에는 이런 것을 본 적이 없다.,"{'label': 2.1, 'real-label': 2.1428571428571432, 'binary-label': 0}",0,0.42000000000000004,2.1
샤워를 하면 샤워 커튼이 좁은 공간에 몸에 붙어 있어 몸이 아프다.,나는 확인했을 때 나 자신을 믿었다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
나는 기차를 한국자동차역으로 갈 것이다,그 방은 작성하기에는 조금 좁지만 집은 너무 예쁘다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
지난 9월 세계경제포럼 관광경쟁력 평가도 전 세계 140개국 가운데 16위를 차지했다.,경제협력개발기구 회원국 92명 가운데 한국과 터키를 제외한 34개국이 전 세계적으로 도입됐다.,"{'label': 0.7000000000000001, 'real-label': 0.6666666666666661, 'binary-label': 0}",0,0.14,0.7000000000000001
손 팬들을 파는 웹사이트,나는 어떤 사이트에서든 손바닥 팬들을 팔고 있다,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
위치도 매우 좋아 이동이 편리하다.,입지가 매우 좋기 때문에 움직이는 것이 아주 편하다.,"{'label': 4.5, 'real-label': 4.5, 'binary-label': 1}",1,0.9,4.5
소통하는 데 조금 더 시간이 걸릴 수 있다.,지역 주민처럼 살 수 있다는 장점이 있다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
와이파이는 2층에서 조금 느리지만 사용하는 것이 좋다.,2층은 조금 느리지만 이용하는 것이 좋다.,"{'label': 3.7, 'real-label': 3.666666666666667, 'binary-label': 1}",1,0.74,3.7
집 밖을 보지 말고 집의 습도를 확인하지 마세요,고객 세탁기를 보세요 그 식기세척기를 볼 수 있나요 ,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
압류재산 매각 중단으로 최대 1년간 체납 집행이 중단됐다.,압수된 부동산 중단 등 최대 1년간 체불 집행도 중단된다.,"{'label': 3.3, 'real-label': 3.333333333333333, 'binary-label': 1}",1,0.6599999999999999,3.3
더 큰 메시지를 보낸 게 딜러인가요 ,그 거래소의 이메일과 부서장의 물량 거기 더 큰 게 뭐야 ,"{'label': 3.5, 'real-label': 3.5, 'binary-label': 1}",1,0.7,3.5
2003년부터 2006년까지 수입은 100억원 500억 원에서 0255억 원으로 증가할 예정이다.,매출별로는 100억원 이하가 03로 충전됐지만 035로 조정된다.,"{'label': 1.5, 'real-label': 1.5, 'binary-label': 0}",0,0.3,1.5
호텔 차원에서는 특정 소통과 손님들과의 문제점을 챙겼다.,소통과 배려가 원활한 호텔 차원에서 만족감을 느꼈다.,"{'label': 3.2, 'real-label': 3.2, 'binary-label': 1}",1,0.64,3.2
송도는 국내 최초로 스마트시티로 끊임없는 실험과 진화가 있는 혁신도시다.,송도는 스마트시티가 시작된 국내 최초의 도시로 끊임없는 실험과 진화를 통해 혁신도시다.,"{'label': 4.4, 'real-label': 4.428571428571429, 'binary-label': 1}",1,0.8800000000000001,4.4
두모와 산타노빌라역 등 모든 관광지와 가깝다.,아크로폴리와 주요 관광지에 가깝다,"{'label': 1.3, 'real-label': 1.333333333333333, 'binary-label': 0}",0,0.26,1.3
발코니 3개 창문 중 하나만 열 수 있다.,많은 장비를 사지 않아도 즐길 수 있다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
국내에는 공수처와 같은 기관만 있다.,규제특구를 지정할 계획이 있습니까 ,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
사장님과의 임명이 늦어서 사전에 가야 한다.,보고서를 늦게 제출하면 모든 점수를 줄일 테니 늦지 마세요,"{'label': 0.5, 'real-label': 0.5, 'binary-label': 0}",0,0.1,0.5
특히 주방과 편안한 침실이 완벽했다.,특히 주방과 편안한 침실이 완벽했다.,"{'label': 4.3, 'real-label': 4.2857142857142865, 'binary-label': 1}",1,0.86,4.3
약속을 바꾸기 하루 전에 최소한 알려주세요,약속을 바꿀 생각이라면 적어도 하루 전에는 그날 나한테 말하지 마라,"{'label': 3.8, 'real-label': 3.833333333333333, 'binary-label': 1}",1,0.76,3.8
계단과 문 앞에 고양이 소변 냄새가 조금 난다.,의자와 책상 고양이가 주류 앞에 너무 귀엽다.,"{'label': 0.8, 'real-label': 0.833333333333333, 'binary-label': 0}",0,0.16,0.8
어디서 약속을 바꿨니 ,늦으면 큰 문제가 될 테니 늦어서는 안 된다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
그곳은 우리 모두에게 완벽한 장소였다,그곳은 모든 면에서 우리에게 완벽한 장소였다,"{'label': 3.7, 'real-label': 3.666666666666667, 'binary-label': 1}",1,0.74,3.7
이들 사이트는 일반 학생들이 스마트폰에 부담 없이 데이터를 이용할 수 있도록 5월 말까지 일시적으로 제로 등급 구체적인 웹사이트 자료를 무료로 제공한다.,이들 사이트는 제로율 특정 웹사이트에 무료로 접속할 수 있어 5월 말까지 일반 학생들이 데이터 사용에 대한 부담 없이 스마트폰을 이용할 수도 있다.,"{'label': 4.3, 'real-label': 4.333333333333333, 'binary-label': 1}",1,0.86,4.3
좋은 주인에게 좋은 곳을 추천한다,나는 친근한 주인과 편안한 곳에 만족한다,"{'label': 2.4, 'real-label': 2.4, 'binary-label': 0}",0,0.48,2.4
접근실 청소도 편안했다.,그 숙소는 위치와 깨끗함 시설에서 매우 좋았다,"{'label': 3.3, 'real-label': 3.285714285714286, 'binary-label': 1}",1,0.6599999999999999,3.3
한 부분의 소품에 대해서는 예쁘지 않았다,숙소는 물론 인근 편의점이나 지하철 음식도 깨끗했다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
호스트는 사적인 방에서 친근하고 편안하다,주인은 사적인 방에서 친근하고 편안하다,"{'label': 4.5, 'real-label': 4.5, 'binary-label': 1}",1,0.9,4.5
